feature,shap_importance
D2,0.043617934235017294
spread2,0.041971329437544565
Jitter:DDP,0.030421246585579896
MDVP:RAP,0.030069577551300197
MDVP:Fhi(Hz),0.022402369286222856
spread1,0.021070440073938962
DFA,0.020690690999593597
frequency_cv,0.020469463959427992
MDVP:Jitter(%),0.01761704308058053
jitter_stability_ratio,0.01666203489686853
MDVP:Flo(Hz),0.016512529085832797
MDVP:Fo(Hz),0.014585514492157985
voice_quality_index,0.010337636923786258
MDVP:Jitter(Abs),0.01033444337210132
HNR,0.010007483532789659
frequency_range,0.009887607987884626
PPE,0.009168700437543694
RPDE,0.007212633806730302
NHR,0.0037487292726811196
Shimmer:APQ5,0.0019452038138390618
shimmer_composite,0.000905908665931863
Shimmer:DDA,0.0005088250360709007
Shimmer:APQ3,0.0003920929044068036
MDVP:Shimmer,0.00037722801620985796
MDVP:PPQ,0.00016609649888442934
MDVP:Shimmer(dB),0.0
MDVP:APQ,0.0
